unit,unit_en,division,army,district,crimes,mil_part,region,city,uhit_short,id
234-й десантно-штурмовий полк,234th-Guards-Airborne-Outstone-Regiment,76-та  десантно-штурмова дивізія,Окружного підпорядкування,Західний військовий округ,Yes,в/ч 74268,Псковська область,м. Псков,234 дшп,Західний військовий округ.76-та  десантно-штурмова дивізія.234-й десантно-штурмовий полк
237-й десантно-штурмовий полк,237th-Guards-Airborne-Outstone-Regiment,76-та  десантно-штурмова дивізія,Окружного підпорядкування,Західний військовий округ,False,в/ч 12865,Псковська область,м. Псков,237 гв дшп,Західний військовий округ.76-та  десантно-штурмова дивізія.237-й десантно-штурмовий полк
4-й зенітний ракетний полк,4rd-Guards-Anti-aircraft-Missile-Regiment,76-та  десантно-штурмова дивізія,Окружного підпорядкування,Західний військовий округ,False,в/ч 81430,Псковська область,м. Псков,3 гвзенрп,Західний військовий округ.76-та  десантно-штурмова дивізія.4-й зенітний ракетний полк
Управління 76-ї десантно-штурмової дивізії,Management-of-the-76th-Airborne-Assault-Division,76-та  десантно-штурмова дивізія,Окружного підпорядкування,Західний військовий округ,Yes,в/ч 07264,Псковська область,м. Псков,ffff,Західний військовий округ.76-та  десантно-штурмова дивізія.Управління 76-ї десантно-штурмової дивізії
,ffff,,,Західний військовий округ,False,ffff,Ярославська область,с. Пєсочноє,ffff,Західний військовий округ.98-ма повітряно-десантна дивізія
1065-й артилерійський полк,1065-Guards-Artillery-Regiment,98-ма повітряно-десантна дивізія,Окружного підпорядкування,Західний військовий округ,False,в/ч 62297,Костромська область,м. Кострома,1065 гв ап,Західний військовий округ.98-ма повітряно-десантна дивізія.1065-й артилерійський полк
217-й парашутно-десантний полк,217th-Guards-Parachut-Destant-Regiment,98-ма повітряно-десантна дивізія,Окружного підпорядкування,Західний військовий округ,False,в/ч 65451,Іванівська область,м. Іваново,217 гвпдп,Західний військовий округ.98-ма повітряно-десантна дивізія.217-й парашутно-десантний полк
331-й парашутно-десантнйи ударний полк,331th-Guards-Parachut-Destanti,98-ма повітряно-десантна дивізія,Окружного підпорядкування,Західний військовий округ,Yes,в/ч 71211,Костромська область,м. Кострома,331 пдп,Західний військовий округ.98-ма повітряно-десантна дивізія.331-й парашутно-десантнйи ударний полк
5-й зенітний ракетний полк,5th-Guards-anti-aircraft-missile-regiment,98-ма повітряно-десантна дивізія,Окружного підпорядкування,Західний військовий округ,False,Невідомо,Іванівська область,м. Іваново,5 гвзенрп,Західний військовий округ.98-ма повітряно-десантна дивізія.5-й зенітний ракетний полк
Управління 98-ї повітняно-десантної дивізії,Management-of-the-98th-Airborne-Division,98-ма повітряно-десантна дивізія,Окружного підпорядкування,Західний військовий округ,False,в/ч 65451,Іванівська область,м. Іваново,ffff,Західний військовий округ.98-ма повітряно-десантна дивізія.Управління 98-ї повітняно-десантної дивізії
1-й стрілецький полк,1st-Separate-Rifle-Regiment,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,в/ч 75384,Московська область,м. Москва,1 оссп,Західний військовий округ.1-й стрілецький полк
1-ша  інженерно-саперна бригада,1st-Guards-Separate-Engineering-Brigade,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,в/ч 11105,Володимирська область,м. Муром,1 гв исбр,Західний військовий округ.1-ша  інженерно-саперна бригада
1-ша бригада управління,1st-management-brigade,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,в/ч 55338,Ленінградська область,м. Сертолово,1 бру,Західний військовий округ.1-ша бригада управління
100-й полк забезпечення,100th-Regiment-of-Security,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,Невідомо,Московська область,с. Алабіно,ffff,Західний військовий округ.100-й полк забезпечення
132-га бригада зв'язку,132th-communication-brigade,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,Невідомо,Ленінградська область,смт. Агаталово,ffff,Західний військовий округ.132-га бригада зв'язку
15-та бригада РЄБ,15th-Separate-Brigade,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,в/ч 71615,Тамбовська область,м. Тамбов,15 обррэб,Західний військовий округ.15-та бригада РЄБ
152-га бригада МТО,152th-Separate-MTO-Brigade,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,Невідомо,Воронезька область,м. Ліскі,152 обрмто,Західний військовий округ.152-га бригада МТО
154-й полк,154th-separate-regiment,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,в/ч 01904,Московська область,м. Москва,154 окпп,Західний військовий округ.154-й полк
16-та  бригада спеціального призначення,16th-Special-Guards-Brigade-of-Special-Purpose,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,в/ч 62688,Тамбовська область,с. Протасово,16 гв обрспн,Західний військовий округ.16-та  бригада спеціального призначення
16-та бригада РЄБ,16th-Separate-Brigade,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,в/ч 64055,Курська область,м. Курськ,16 обррэб,Західний військовий округ.16-та бригада РЄБ
2-га бригада спеціального призначення,2nd-separate-special-purpose-team,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,в/ч 75143,Псковська область,м. Печори,2-я обрспн,Західний військовий округ.2-га бригада спеціального призначення
200-та зенітна ракетна бригада,The-200th-anti-aircraft-missile-brigade,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,в/ч 43034,Московська область,м. Наро-Фомінськ,202-я зрбр,Західний військовий округ.200-та зенітна ракетна бригада
203-й  авійаціний полк,203th-Separate-Guards-Aviyai-Regiment,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,Невідомо,Московська область,Аєродром Дягілєво,ffff,Західний військовий округ.203-й  авійаціний полк
27-ма берегова ракетна бригада,27-Separate-Coast-Missile-Brigade,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,Невідомо,Калінінградська область,смт. Донське,ffff,Західний військовий округ.27-ма берегова ракетна бригада
27-та бригада РХБ,27th-Separate-RCB-Brigade,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,в/ч 11262,Курська область,м. Курськ,27 обррхбз,Західний військовий округ.27-та бригада РХБ
28-ма понтонно-мостова бригада,28-Ponton-brick,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,Yes,в/ч 45445,Володимирська область,м. Муром,28 понмбр,Західний військовий округ.28-ма понтонно-мостова бригада
29-та залізнична бригада,29th-separate-railway-brigade,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,в/ч 33149,Смоленська область,м. Красний Бор,29 ождбр,Західний військовий округ.29-та залізнична бригада
299-й учбовий центр,299th-training-center,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,Невідомо,Калінінградська область,м.Гвардє́йськ,ffff,Західний військовий округ.299-й учбовий центр
334-й військово-транспортний авіаційни полк,334th-Military-Transport-Aviation-Regiment,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,Невідомо,Псковська область,м. Псков,ffff,Західний військовий округ.334-й військово-транспортний авіаційни полк
336-та  бригада морської піхоти,336-Separate-Guards-Brigade-of-Marines,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,в/ч 81280,Калінінградська область,м. Балтійськ,336-я обрмп,Західний військовий округ.336-та  бригада морської піхоти
34-та залізнична бригада,34th-separate-railway-brigade,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,в/ч 01855,Рязанська область,м. Рязань,34 ождбр,Західний військовий округ.34-та залізнична бригада
38-ма грвадійська бригада управління,38th-Gradia-Management-Brigade,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,в/ч 54164,Московська область,смт. Медвежьі Озера,38 гв бру,Західний військовий округ.38-ма грвадійська бригада управління
38-ма залізнична бригада,38-Separate-railway-brigade,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,в/ч 83497,Ярославська область,м. Ярославль,38 ождбр,Західний військовий округ.38-ма залізнична бригада
45-й інженерно - маскувальний полк,45th-engineering---camouflage-regiment,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,в/ч 58142,Московська область,м. Ніколо-Урюпіно,ffff,Західний військовий округ.45-й інженерно - маскувальний полк
45-та  інженерна бригада,45th-Separate-Guards-Engineering-Brigade,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,в/ч 11361,Московська область,м. Нахабіно,45 гв оибр,Західний військовий округ.45-та  інженерна бригада
45-та артилерійська бригада великої потужності,The-45th-Artillery-Brigade-of-High-Power,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,Yes,в/ч 31969,Тамбовська область,м. Тамбов,45 абр БМ,Західний військовий округ.45-та артилерійська бригада великої потужності
45-та бригада спеціального призначення,45th-Special-Guards-Brigade-of-Special-Purpose,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,Yes,Невідомо,Московська область,м. Москва,45 бсп,Західний військовий округ.45-та бригада спеціального призначення
46-та радіотехнічна бригада особливого призначення,46th-Separate-Special-Purpose-Radio-Technical-Brigade,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,Невідомо,Ленінградська область,м. Бугри,ffff,Західний військовий округ.46-та радіотехнічна бригада особливого призначення
5-й ремонтно відновлювальний полк,5th-repair-regiment,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,в/ч 63661,Московська область,м. Зарайськ,ffff,Західний військовий округ.5-й ремонтно відновлювальний полк
51-ша бригада МТО,51st-Separate-MTO-Brigade,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,в/ч 72152,Ленінградська область,м. Красноє Сєло,51 обрмто,Західний військовий округ.51-ша бригада МТО
561-й розвідувальний центр,561th-Intelligence-Center,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,Невідомо,Калінінградська область,смт. Парусне,ffff,Західний військовий округ.561-й розвідувальний центр
69-й  морський інженерний полк,69th-Separate-Guards-Marine-Engineering-Regiment,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,Невідомо,Калінінградська область,м.Гвардє́йськ,ffff,Західний військовий округ.69-й  морський інженерний полк
742-й центр зв'язку,742th-Guards-Center-of-Communication,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,Невідомо,Калінінградська область,м. Калінінград,ffff,Західний військовий округ.742-й центр зв'язку
79-та реактивна артилерійська бригада,79th-Guards-Reactive-Artillery-Brigade,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,Yes,в/ч 53956,Тверська область,м. Тверь,79 гв реабр,Західний військовий округ.79-та реактивна артилерійська бригада
82-га радіотехнічна бригада,82th-Separate-Radio-Technical-Brigade,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,Невідомо,Смоленська область,м. Вязьмя,ffff,Західний військовий округ.82-га радіотехнічна бригада
841-й центр РЄБ,841th-Separate-Center,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,Невідомо,Калінінградська область,смт. Янтарний,ffff,Західний військовий округ.841-й центр РЄБ
9-та бригада МТО,The-9th-Separate-MTO-Brigade,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,в/ч 11385,Нижньогородська область,м. Дзержинськ,9 обрмто,Західний військовий округ.9-та бригада МТО
Управління російського угрупування в придністровї,Management-of-the-Russian-Group-in-Transnistria,Армійського підпорядкування,Окружного підпорядкування,Західний військовий округ,False,в/ч 13962,Молдова,м. Тираспіль,ffff,Західний військовий округ.Управління російського угрупування в придністровї
,247th-Guards-Airborne-Outstone-Regiment,,,Південний військовий округ,Yes,в/ч 54801,Ставропольський край,м. Ставрополь,247 гв дшп,Південний військовий округ
,4th-Separate-Regiment-of-RCB-Protection,,,Південний військовий округ,False,в/ч 86862,Окупований Крим (Україна),м. Севастополь,4 опрхбз,Південний військовий округ.22-й армійський корпус
1096-й зенітний ракетний полк,1096-Separate-Anti-aircraft-Missile-Regiment,Армійського підпорядкування,22-й армійський корпус,Південний військовий округ,Yes,в/ч 83576,Окупований Крим (Україна),м. Севастополь,1096 озенрп,Південний військовий округ.22-й армійський корпус.1096-й зенітний ракетний полк
126-та  бригада берегової охорони,126th-Separate-Guards-Brigade-of-Coast-Guard,Армійського підпорядкування,22-й армійський корпус,Південний військовий округ,Yes,в/ч 12676,Окупований Крим (Україна),с. Перевальне,126 гв обрбо,Південний військовий округ.22-й армійський корпус.126-та  бригада берегової охорони
127-ма розвідувальна бригада,127-Separate-Intelligence-Brigade,Армійського підпорядкування,22-й армійський корпус,Південний військовий округ,Yes,в/ч 67606,Окупований Крим (Україна),м. Севастополь,ffff,Південний військовий округ.22-й армійський корпус.127-ма розвідувальна бригада
4-й полк РХБ захисту,4th-Separate-Regiment-of-RCB-Protection,Армійського підпорядкування,22-й армійський корпус,Південний військовий округ,False,в/ч 86862,Окупований Крим (Україна),м. Севастополь,4 опрхбз,Південний військовий округ.22-й армійський корпус.4-й полк РХБ захисту
8-й артилерійський полк,8th-Artillery-Regiment,Армійського підпорядкування,22-й армійський корпус,Південний військовий округ,Yes,в/ч 87714,Окупований Крим (Україна),с. Перевальне,8 ап,Південний військовий округ.22-й армійський корпус.8-й артилерійський полк
,Management-of-the-22nd-Army-Corps,,,Південний військовий округ,Yes,Інформація відсутня,Окупований Крим (Україна),м. Севастополь,У 22 ак,Південний військовий округ.22nd-Army-Corps
Управління 22-го армійського корпусу,Management-of-the-22nd-Army-Corps,Армійського підпорядкування,22nd-Army-Corps,Південний військовий округ,Yes,Інформація відсутня,Окупований Крим (Україна),м. Севастополь,У 22 ак,Південний військовий округ.22nd-Army-Corps.Управління 22-го армійського корпусу
,34th-Separate-Motorized-Rifle-Brigade,,,Південний військовий округ,Yes,в/ч 33182,Республіка Карачаєво-Черкесія,смт. Сторожева-2,34 омсбр(г),Південний військовий округ.49-та загальновійськова армія
1-ша ракетна бригада,1st-Guards-missile-brigade,Армійського підпорядкування,49-та загальновійськова армія,Південний військовий округ,False,в/ч 31853,Краснодарський край,м. Гарячий Ключ,1 гв рбр,Південний військовий округ.49-та загальновійськова армія.1-ша ракетна бригада
17-й полк РХБ захисту,17th-Regiment-of-RCB-protection,Армійського підпорядкування,49-та загальновійськова армія,Південний військовий округ,False,Невідомо,Красноярський край,м. Красноярськ,ffff,Південний військовий округ.49-та загальновійськова армія.17-й полк РХБ захисту
205-та мотострілецька бригада,205th-Separate-Motorized-Rifle-Brigade,Армійського підпорядкування,49-та загальновійськова армія,Південний військовий округ,Yes,в/ч 74814,Ставропольський край,м. Будьоновськ,205 омсбр,Південний військовий округ.49-та загальновійськова армія.205-та мотострілецька бригада
227-ма артилерійська бригада,227-artillery-brigade,Армійського підпорядкування,49-та загальновійськова армія,Південний військовий округ,Yes,в/ч 13714,Республіка Адигея,м. Майкоп,227 абр,Південний військовий округ.49-та загальновійськова армія.227-ма артилерійська бригада
32-й інженерно-сапериний полк,32nd-engineering-sampling-regiment,Армійського підпорядкування,49-та загальновійськова армія,Південний військовий округ,False,в/ч 23094,Краснодарський край,смт. Афіпський,ffff,Південний військовий округ.49-та загальновійськова армія.32-й інженерно-сапериний полк
34-та мотострілецька бригада,34th-Separate-Motorized-Rifle-Brigade,Армійського підпорядкування,49-та загальновійськова армія,Південний військовий округ,Yes,в/ч 33835,Республіка Карачаєво-Черкесія,смт. Сторожева-2,34 омсбр(г),Південний військовий округ.49-та загальновійськова армія.34-та мотострілецька бригада
66-та бригада управління,66th-Management-Brigade,Армійського підпорядкування,49-та загальновійськова армія,Південний військовий округ,False,в/ч 41600,Ставропольський край,м. Ставрополь,66 бру,Південний військовий округ.49-та загальновійськова армія.66-та бригада управління
7-ма військова база,7-military-base,Армійського підпорядкування,49-та загальновійськова армія,Південний військовий округ,Yes,в/ч 09332,Республіка Абхазія,м. Гадаута,7 вб,Південний військовий округ.49-та загальновійськова армія.7-ма військова база
90-та зенітна ракетна бригада,90th-anti-aircraft-missile-brigade,Армійського підпорядкування,49-та загальновійськова армія,Південний військовий округ,False,в/ч 54821,Краснодарський край,с. Яблонівська,90 ЗРБр,Південний військовий округ.49-та загальновійськова армія.90-та зенітна ракетна бригада
Управління 49-ї загальновійськової армії,Management-of-the-49th-General-Army,Армійського підпорядкування,49-та загальновійськова армія,Південний військовий округ,Yes,в/ч 35181,Ставропольський край,м. Ставрополь,ffff,Південний військовий округ.49-та загальновійськова армія.Управління 49-ї загальновійськової армії
,ffff,,,Південний військовий округ,False,ffff,Республіка Чечня,м. Грозний,ffff,Південний військовий округ.58-ма загальновійськова армія
,503th-Guards-Motorized-Rifle-Regiment,,,Південний військовий округ,Yes,в/ч 75394,Республіка Інгушетія,с. Троіцька,503 гв мсп,Південний військовий округ.58-ма загальновійськова армія.19-та мотострілецька дивізія
429-й мотострілецький полк,429th-Motorized-Rifle-Regiment,19-та мотострілецька дивізія,58-ма загальновійськова армія,Південний військовий округ,Yes,в/ч 64201,Республіка Північна Осетія-Аланія,м. Моздюк,429 мсп,Південний військовий округ.58-ма загальновійськова армія.19-та мотострілецька дивізія.429-й мотострілецький полк
503-й мотострілецький полк,503th-Guards-Motorized-Rifle-Regiment,19-та мотострілецька дивізія,58-ма загальновійськова армія,Південний військовий округ,Yes,в/ч 75394,Республіка Інгушетія,с. Троіцька,503 гв мсп,Південний військовий округ.58-ма загальновійськова армія.19-та мотострілецька дивізія.503-й мотострілецький полк
Управління 19-ї мотострілецької дивізії,Management-of-the-19th-Motorial-Division,19-та мотострілецька дивізія,58-ма загальновійськова армія,Південний військовий округ,Yes,в/ч 20634,Республіка Північна Осетія-Аланія,м. Владикавказ,ffff,Південний військовий округ.58-ма загальновійськова армія.19-та мотострілецька дивізія.Управління 19-ї мотострілецької дивізії
,291th-Guards-Motorized-Rifle-Regiment,,,Південний військовий округ,Yes,в/ч 65384,Республіка Чечня,смт. Борзой,291 гвмсп,Південний військовий округ.58-ма загальновійськова армія.42-га  мотострілецька дивізія
291-й мотострілецький полк,291th-Guards-Motorized-Rifle-Regiment,42-га  мотострілецька дивізія,58-ма загальновійськова армія,Південний військовий округ,Yes,в/ч 65384,Республіка Чечня,смт. Борзой,291 гвмсп,Південний військовий округ.58-ма загальновійськова армія.42-га  мотострілецька дивізія.291-й мотострілецький полк
50-й самохідний артилерійський полк,50th-Guards-Self-Propelled-Artillery-Regiment,42-га  мотострілецька дивізія,58-ма загальновійськова армія,Південний військовий округ,Yes,в/ч 53185,Республіка Чечня,м. Шалі,50 гв сап,Південний військовий округ.58-ма загальновійськова армія.42-га  мотострілецька дивізія.50-й самохідний артилерійський полк
70-й мотострілецький полк,70th-Guards-Motorized-Rifle-Regiment,42-га  мотострілецька дивізія,58-ма загальновійськова армія,Південний військовий округ,Yes,в/ч 71718,Республіка Чечня,м. Шалі,70 гв мсп,Південний військовий округ.58-ма загальновійськова армія.42-га  мотострілецька дивізія.70-й мотострілецький полк
71-й мотострілецький полк,71th-Guards-Motorized-Rifle-Regiment,42-га  мотострілецька дивізія,58-ма загальновійськова армія,Південний військовий округ,Yes,в/ч 16544,Республіка Чечня,м. Грозний,71 гв мсп,Південний військовий округ.58-ма загальновійськова армія.42-га  мотострілецька дивізія.71-й мотострілецький полк
Управління 42-ї дивізії,Management-of-the-42nd-Division,42-га  мотострілецька дивізія,58-ма загальновійськова армія,Південний військовий округ,Yes,в/ч 27777,Республіка Чечня,м. Грозний,ffff,Південний військовий округ.58-ма загальновійськова армія.42-га  мотострілецька дивізія.Управління 42-ї дивізії
1020-й команднйи розвідувальний центр,1020th-command-reconnaissance-center,Армійського підпорядкування,58-ма загальновійськова армія,Південний військовий округ,False,в/ч 30656,Республіка Північна Осетія-Аланія,м. Владикавказ,ffff,Південний військовий округ.58-ма загальновійськова армія.1020-й команднйи розвідувальний центр
1138-й команднйи пункт ПВО,1138th-command,Армійського підпорядкування,58-ма загальновійськова армія,Південний військовий округ,False,Невідомо,Республіка Північна Осетія-Аланія,м. Владикавказ,ffff,Південний військовий округ.58-ма загальновійськова армія.1138-й команднйи пункт ПВО
12-та ракетна бригада,12th-rocket-brigade,Армійського підпорядкування,58-ма загальновійськова армія,Південний військовий округ,False,в/ч 25788,Республіка Північна Осетія-Аланія,м. Моздюк,12 рбр,Південний військовий округ.58-ма загальновійськова армія.12-та ракетна бригада
136-та  мотострілецька бригада,136th-Separate-Guards-Motorized-Rifle-Brigade,Армійського підпорядкування,58-ма загальновійськова армія,Південний військовий округ,Yes,в/ч 63354,Республіка Дагестан,м. Бунайськ,136 гв омсбр,Південний військовий округ.58-ма загальновійськова армія.136-та  мотострілецька бригада
291-ша артелерійська бригада,291-sh-Artelerian-brigade,Армійського підпорядкування,58-ма загальновійськова армія,Південний військовий округ,Yes,в/ч 64670,Республіка Інгушетія,с. Троіцька,291 абр,Південний військовий округ.58-ма загальновійськова армія.291-ша артелерійська бригада
31-й інженерно-саперний полк,31st-engineering-sapl,Армійського підпорядкування,58-ма загальновійськова армія,Південний військовий округ,False,в/ч 31777,Республіка Кабардино-Балкарія,м. Прохладний,31 исп,Південний військовий округ.58-ма загальновійськова армія.31-й інженерно-саперний полк
34-та бригада управління,34th-Management-Brigade,Армійського підпорядкування,58-ма загальновійськова армія,Південний військовий округ,Yes,в/ч 29202,Республіка Північна Осетія-Аланія,м. Владикавказ,ffff,Південний військовий округ.58-ма загальновійськова армія.34-та бригада управління
4-та військова база,4th-Guards-Military-Base,Армійського підпорядкування,58-ма загальновійськова армія,Південний військовий округ,False,в/ч 66431,Окупована Південна Осетія (Грузія),м. Цхінвал,4 гв вб,Південний військовий округ.58-ма загальновійськова армія.4-та військова база
40-й полк РХБ захисту,40th-Regiment-of-RCB-protection,Армійського підпорядкування,58-ма загальновійськова армія,Південний військовий округ,False,в/ч 16383,Республіка Інгушетія,с. Троіцька,40 прхбз,Південний військовий округ.58-ма загальновійськова армія.40-й полк РХБ захисту
67-ма зенітна ракетна бригада,67th-anti-aircraft-missile-brigade,Армійського підпорядкування,58-ма загальновійськова армія,Південний військовий округ,False,в/ч 32383,Республіка Північна Осетія-Аланія,м. Владикавказ,67 зрбр,Південний військовий округ.58-ма загальновійськова армія.67-ма зенітна ракетна бригада
74-й радіотехнічний полк особливого призначення,74th-Separate-Radiotechnical-Regiment-of-Special-Purpose,Армійського підпорядкування,58-ма загальновійськова армія,Південний військовий округ,False,в/ч 68889,Республіка Північна Осетія-Аланія,м. Владикавказ,ffff,Південний військовий округ.58-ма загальновійськова армія.74-й радіотехнічний полк особливого призначення
N-на топографічна частина,N-on-topographic-part,Армійського підпорядкування,58-ма загальновійськова армія,Південний військовий округ,False,Невідомо,Республіка Північна Осетія-Аланія,м. Владикавказ,ffff,Південний військовий округ.58-ма загальновійськова армія.N-на топографічна частина
Управління 58-ї армії,Management-of-the-58th-Army,Армійського підпорядкування,58-ма загальновійськова армія,Південний військовий округ,Yes,в/ч 47084,Республіка Північна Осетія-Аланія,м. Владикавказ,ffff,Південний військовий округ.58-ма загальновійськова армія.Управління 58-ї армії
,ffff,,,Південний військовий округ,False,ffff,ffff,ffff,ffff,Південний військовий округ.8-ма гвардійська загальновійськова армія
,ffff,,,Південний військовий округ,False,в/ч 22265,Ростовська область,смт. Персианівський,ffff,Південний військовий округ.8-ма гвардійська загальновійськова армія.150-та мотострілецька дивізія
102-й мотострілецький полк,102th-Motorized-Rifle-Regiment,150-та мотострілецька дивізія,8-ма гвардійська загальновійськова армія,Південний військовий округ,Yes,в/ч 91706,Ростовська область,смт. Персианівський,102 мсп,Південний військовий округ.8-ма гвардійська загальновійськова армія.150-та мотострілецька дивізія.102-й мотострілецький полк
103-й мотострілецький полк,The-103rd-Motorized-Rifle-Regiment,150-та мотострілецька дивізія,8-ма гвардійська загальновійськова армія,Південний військовий округ,Yes,в/ч 91708,Ростовська область,м. Ростов-на-Дону,103 мсп,Південний військовий округ.8-ма гвардійська загальновійськова армія.150-та мотострілецька дивізія.103-й мотострілецький полк
163-й танковий полк,163th-Guards-Tank-Regiment,150-та мотострілецька дивізія,8-ма гвардійська загальновійськова армія,Південний військовий округ,Yes,в/ч 84839,Ростовська область,смт. Персианівський,ffff,Південний військовий округ.8-ма гвардійська загальновійськова армія.150-та мотострілецька дивізія.163-й танковий полк
381-й артилерійський полк,381th-Guards-Artillery-Regiment,150-та мотострілецька дивізія,8-ма гвардійська загальновійськова армія,Південний військовий округ,Yes,в/ч 24390,Ростовська область,х. Кузьмінка,381 гв ап,Південний військовий округ.8-ма гвардійська загальновійськова армія.150-та мотострілецька дивізія.381-й артилерійський полк
68-й танковий полк,68th-Guards-Tank-Regiment,150-та мотострілецька дивізія,8-ма гвардійська загальновійськова армія,Південний військовий округ,Yes,в/ч 91714,Ростовська область,смт. Персианівський,ffff,Південний військовий округ.8-ма гвардійська загальновійськова армія.150-та мотострілецька дивізія.68-й танковий полк
933-й зенітний ракетний полк,933th-anti-aircraft-missile-regiment,150-та мотострілецька дивізія,8-ма гвардійська загальновійськова армія,Південний військовий округ,Yes,в/ч 15269,Ростовська область,м. Міллєрово,933 зрп,Південний військовий округ.8-ма гвардійська загальновійськова армія.150-та мотострілецька дивізія.933-й зенітний ракетний полк
