Менші підрозділи,Unnamed: 1,"Роти, батареї","Батальйони, дивізіони",Unnamed: 4,unit_ru,unit_en,unit,uhit_short,division_ru,division_en,division,army_ru,army_en,army,district,main,mil_part,city,region,ru_s,ru_f,crimes,location,ua_f,ua_s,sourse
ffff,ffff,ffff,управление,ffff,10-й полк рхб защиты,The-10th-Regiment-of-RCB-Protection,10-й полк РХБ захисту,10 прхбз,ffff,Army-subordination,Армійського підпорядкування,41-я общевойсковая армия,41st-Army,41-ша армія,Центральний військовий округ,Армія РФ,в/ч 55121,с. Топчиха,Алтайський край,52.82440735646754,83.1188882015979,,,,,
ffff,ffff,ffff,ffff,ffff,106-та окрема бригада мтз,106th-MTZ-brigade,106-та бригада МТЗ,106 брмтз,ffff,Army-subordination,Армійського підпорядкування,41-я общевойсковая армия,41st-Army,41-ша армія,Центральний військовий округ,Армія РФ,в/ч 72154,м. Юрга,Кемеровська область,55.7192733,84.9310085,,,,,
ffff,ffff,ffff,ffff,ffff,41-ша окрема мотострілецька бригада,41st-Separate-Motorized-Rifle-Brigade,41-ша мотострілецька бригада,41 омсбр,ffff,Army-subordination,Армійського підпорядкування,41-я общевойсковая армия,41st-Army,41-ша армія,Центральний військовий округ,Армія РФ,в/ч 55115,м. Кизил,Республіка Тува,51.69891254128584,94.41223031531987,,,,,
ffff,ffff,ffff,ffff,ffff,Управління 90-ї танкової дивізії,Management-of-the-90th-Tank-Division,Управління 90-ї танкової дивізії,У 90 тд,90-я гвардейская танковая Витебско-Новгородская дважды Краснознамённая дивизия,90th-Guards-Tank-Division,90-та  танкова дивізія,Окружного підпорядкування,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 86274,м. Чебакуль,Челябінська область,55.0011366,60.39364561431101,Yes,Лиман,37.807037048889136,48.98824669226301,https://militaryland.net/ukraine/deployment-map/
ffff,ffff,ffff,ffff,ffff,"6-й гвардейский танковый львовский ордена ленина, краснознамённый, орденов суворова, кутузова и богдана хмельницкого полк",6th-Guards-Tank-Regiment,6-й танковий полк,6 гв тп,90-я гвардейская танковая Витебско-Новгородская дважды Краснознамённая дивизия,90th-Guards-Tank-Division,90-та  танкова дивізія,Окружного підпорядкування,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 93992,м. Чебакуль,Челябінська область,55.0011366,60.39364561431101,Yes,Попасна,38.37495638151852,48.63285725239968,
ffff,ffff,ffff,ffff,ffff,80-й танковый краснознамённый полк,80th-tank-regiment,80-й танковий полк,80 тп,90-я гвардейская танковая Витебско-Новгородская дважды Краснознамённая дивизия,90th-Guards-Tank-Division,90-та  танкова дивізія,Окружного підпорядкування,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 87441,м. Чебакуль,Челябінська область,55.0011366,60.39364561431101,Yes,Попасна,38.3820551825378,48.63332494142087,
ffff,ffff,ffff,ffff,ffff,"239-й гвардейский танковый краснознамённый, орденов суворова, кутузова, александра невского оренбургский казачий полк",239th-Guards-Tank-Regiment,239-й танковий полк,239 гв тп,90-я гвардейская танковая Витебско-Новгородская дважды Краснознамённая дивизия,90th-Guards-Tank-Division,90-та  танкова дивізія,Окружного підпорядкування,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 89547,м. Чебакуль,Челябінська область,55.0011366,60.39364561431101,Yes,Україна,30.530483275708953,50.4381873370732,
ffff,ffff,ffff,ffff,ffff,228-й мотострелковый ленинградско-павловский краснознамённый полк,228th-Motorized-Rifle-Regiment,228-й мотострілецький полк,228 мсп,90-я гвардейская танковая Витебско-Новгородская дважды Краснознамённая дивизия,90th-Guards-Tank-Division,90-та  танкова дивізія,Окружного підпорядкування,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 22316,м. Екатеринбург,Свердловська область,56.746587,60.8017937,,,,,
ffff,ffff,ffff,ffff,ffff,400-й самохідний артилерійський полк,The-400th-Self-Processed-Artillery-Regiment,400-й самохідний артилерійський полк,400 сап,90-я гвардейская танковая Витебско-Новгородская дважды Краснознамённая дивизия,90th-Guards-Tank-Division,90-та  танкова дивізія,Окружного підпорядкування,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 15871,м. Чебакуль,Челябінська область,55.0011366,60.39364561431101,Yes,Ізюм,37.26227080159677,49.20919508761779,
ffff,ffff,ffff,ffff,ffff,92-й мотострілецький полк,92th-Motorized-Rifle-Regiment,92-й мотострілецький полк,90 мсп,201-я российская военная база,201s-Military-Base,201-ша військова база,Окружного підпорядкування,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 31691,м. Душанбе,Таджикістан,38.55591430270209,68.77917216726155,,,,,
ffff,ffff,ffff,ffff,ffff,149-й мотострілецький полк,149th-Motorized-Rifle-Regiment,149-й мотострілецький полк,149 мсп,201-я российская военная база,201s-Military-Base,201-ша військова база,Окружного підпорядкування,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 54306,м. Душанбе,Таджикістан,38.55591430270209,68.77917216726155,,,,,
ffff,ffff,ffff,ffff,ffff,191-й мотострілецький полк,191th-Motorized-Rifle-Regiment,191-й мотострілецький полк,191 мсп,201-я российская военная база,201s-Military-Base,201-ша військова база,Окружного підпорядкування,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 83364,м. Курган-Тюбе,Таджикістан,37.83857774235612,68.786601318491,,,,,
ffff,ffff,ffff,ffff,ffff,232-я реактивная артиллерийская пражская краснознамённая ордена суворова бригада,232th-jet-artillery-brigade,232-га реактивна артилерійська бригада,232 рабр,ffff,Army-subordination,Армійського підпорядкування,Окружного підпорядкування,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 31643,м. Чебакуль,Челябінська область,55.0011366,60.39364561431101,,,,,
ffff,ffff,ffff,ffff,ffff,28-я зенитная ракетная бригада,28th-anti-aircraft-missile-brigade,28-ма зенітна ракетна бригада,28 зенрбр,ffff,Army-subordination,Армійського підпорядкування,Окружного підпорядкування,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 71316,смт. Мирний,Кіровська область,53.508550303259696,50.27064054655887,,,,,
ffff,ffff,ffff,ffff,ffff,59-я сивашская краснознамённая бригада управления,59th-Management-Brigade,59-та бригада управління,59 бру,ffff,Army-subordination,Армійського підпорядкування,Окружного підпорядкування,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 28331,м. Екатеринбург,Свердловська область,56.746587,60.8017937,,,,,
ffff,ffff,ffff,ffff,ffff,179-я бригада связи (территориальная),179th-communication-brigade,179-та бригада зв'язку,197 брс,ffff,Army-subordination,Армійського підпорядкування,Окружного підпорядкування,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,Невідомо,м. Екатеринбург,Свердловська область,56.746587,60.8017937,,,,,
ffff,ffff,ffff,ffff,ffff,12-я отдельная гвардейская инженерная бригада,The-12th-Separate-Guards-Engineering-Brigade,12-та  інженерна бригада,12 гв оибр,ffff,Army-subordination,Армійського підпорядкування,Окружного підпорядкування,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 63494,м. Алкіно-2,Республіка Башкортостан,54.652267,55.596077,Yes,Україна,30.530483275708928,50.43818733707296,
ffff,ffff,ffff,управление,ffff,"1-я мобильная бригада радиационной, химической и биологической защиты",1st-mobile-brigade-RCB-protection,1-ша мобільна бригада РХБ захисту,1 мбррхбз,ffff,Army-subordination,Армійського підпорядкування,Окружного підпорядкування,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 71432,м. Шихани,Саратовська область,52.114838,47.198475,,,,,
ffff,ffff,ffff,ffff,ffff,9-я отдельная бригада рхб защиты имени героя советского союза генерал-полковника в. к. пикалова,9th-Separate-Brigade-of-RCB-Protection,9-та бригада РХБ захисту,29 обрхбз,ffff,Army-subordination,Армійського підпорядкування,Окружного підпорядкування,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 34081,м. Екатеринбург,Свердловська область,56.746587,60.8017937,,,,,
ffff,ffff,ffff,ffff,ffff,18-я отдельная бригада рэб,18th-Brigade,18-та бригада РЄБ,18 бррєб,ffff,Army-subordination,Армійського підпорядкування,Окружного підпорядкування,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 41158,м. Екатеринбург,Свердловська область,56.746587,60.8017937,,,,,
ffff,ffff,ffff,ffff,ffff,5-я отдельная железнодорожная познанская краснознамённая бригада,5th-separate-railway-brigade,5-та залізнична бригада,5 ождбр,ffff,Army-subordination,Армійського підпорядкування,Окружного підпорядкування,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 01662,м. Абакан,Республіка Хакасія,53.72778485,91.45153010567653,,,,,
ffff,ffff,ffff,ffff,ffff,43-я отдельная железнодорожная бригада,43-day-separate-railway-brigade,43-тя залізнична бригада,43 ождбр,ffff,Army-subordination,Армійського підпорядкування,Окружного підпорядкування,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 61207,м. Екатеринбург,Свердловська область,56.746587,60.8017937,,,,,
ffff,ffff,ffff,ffff,ffff,48-я отдельная железнодорожная бригада,48-Separate-railway-brigade,48-ма залізнична бригада,48 ождбр,ffff,Army-subordination,Армійського підпорядкування,Окружного підпорядкування,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 55026,м. Омськ,Омська область,54.9998428,73.3120121,,,,,
ffff,ffff,ffff,ffff,ffff,105-я отдельная бригада мто,105th-Separate-MTO-Brigade,105-та бригада МТО,105 обрмто,ffff,Army-subordination,Армійського підпорядкування,Окружного підпорядкування,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 11386,м. Самара,Самарська область,53.198627,50.113987,,,,,
ffff,ffff,ffff,ffff,ffff,106-я отдельная бригада мто,106th-Separate-MTO-Brigade,106-та бригада МТО,106 обрмто,ffff,Army-subordination,Армійського підпорядкування,Окружного підпорядкування,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 72154,м. Юрга,Кемеровська область,55.7192733,84.9310085,,,,,
ffff,ffff,ffff,ffff,ffff,24-й отдельный ремонтно-эвакуационный полк,24th-repair-evacuation-regiment,24-й ремонтно евакуаційний полк,24 реп,ffff,Army-subordination,Армійського підпорядкування,Окружного підпорядкування,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,Невідомо,м. Южноуральськ,Челябінська область,54.441047994158495,61.264994465990846,,,,,
ffff,ffff,ffff,ffff,ffff,Управління 2-ї армії,Management-of-the-2nd-Army,Управління 2-ї армії,У 2а,ffff,Army-subordination,Армійського підпорядкування,2-я гвардейская общевойсковая Краснознамённая армия,2nd-Guards-Army,2-га гвардійська армія,Центральний військовий округ,Армія РФ,в/ч 22223,м. Самара,Самарська область,53.198627,50.113987,,,,,
ffff,ffff,ffff,управление,ffff,15-я отдельная мотострелковая Александрийская бригада (миротворческая),The-15th-Separate-Motorial-Brigade,15-та мотострілкова бригада,15 омсбр,ffff,Army-subordination,Армійського підпорядкування,2-я гвардейская общевойсковая Краснознамённая армия,2nd-Guards-Army,2-га гвардійська армія,Центральний військовий округ,Армія РФ,в/ч 90600,смт. Рощинський,Самарська область,50.49190967742887,53.05228617151403,Yes,Богданівка під броварами.,30.53048327570893,50.43818733707303,https://www.facebook.com/natalie.sedletska/posts/10160244027067652
ffff,ffff,ffff,управление,ffff,"21-я отдельная гвардейская мотострелковая омско-новобугская краснознамённая, ордена богдана хмельницкого бригада (тяжёлая)",21st-Separate-Guards-Motorized-Rifle-Brigade,21-ша  мотострілецька бригада,21 гв омсбр(т),ffff,Army-subordination,Армійського підпорядкування,2-я гвардейская общевойсковая Краснознамённая армия,2nd-Guards-Army,2-га гвардійська армія,Центральний військовий округ,Армія РФ,в/ч 12128,с. Тоцьке,Оренбургська область,52.74149775283744,52.52646997570813,,,,,
ffff,ffff,ffff,ffff,ffff,30-я отдельная мотострелковая бригада,The-30th-Separate-Motorized-Rifle-Brigade,30-та мотострілецька бригада,30 омсбр,ffff,Army-subordination,Армійського підпорядкування,2-я гвардейская общевойсковая Краснознамённая армия,2nd-Guards-Army,2-га гвардійська армія,Центральний військовий округ,Армія РФ,в/ч 45863,смт. Рощинський,Самарська область,50.49190967742887,53.05228617151403,Yes,Україна,30.530483275708963,50.43818733707331,
ffff,ffff,ffff,управление,ffff,"385-я гвардейская артиллерийская одесская краснознамённая, ордена богдана хмельницкого бригада",385th-Guards-Artillery-Brigade,385-та артилерійська бригада,385 гв абр,ffff,Army-subordination,Армійського підпорядкування,2-я гвардейская общевойсковая Краснознамённая армия,2nd-Guards-Army,2-га гвардійська армія,Центральний військовий округ,Армія РФ,в/ч 32755,с. Тоцьке,Оренбургська область,52.74149775283744,52.52646997570813,,,,,
ffff,ffff,ffff,управление,ffff,92-га ракетна ордена кутузова бригада,92nd-missile-brigade,92-га ракетна бригада,92-га рбр,ffff,Army-subordination,Армійського підпорядкування,2-я гвардейская общевойсковая Краснознамённая армия,2nd-Guards-Army,2-га гвардійська армія,Центральний військовий округ,Армія РФ,в/ч 30785,с. Тоцьке,Оренбургська область,52.74149775283744,52.52646997570813,,,,,
ffff,ffff,ffff,управление,ffff,297-я зенитная ракетная бригада,297th-Zenit-missile-brigade,297-та зенитна ракетна бригада,297 зрбр,ffff,Army-subordination,Армійського підпорядкування,2-я гвардейская общевойсковая Краснознамённая армия,2nd-Guards-Army,2-га гвардійська армія,Центральний військовий округ,Армія РФ,в/ч 02030,с. Леонідівка,Пензенська область,45.233064368662845,53.12905462831752,,,,,
ffff,ffff,ffff,ffff,ffff,91-я келецкая орденов александра невского и красной звезды бригада управления,91st-management-brigade,91-ша бригада управління,91 бру,ffff,Army-subordination,Армійського підпорядкування,2-я гвардейская общевойсковая Краснознамённая армия,2nd-Guards-Army,2-га гвардійська армія,Центральний військовий округ,Армія РФ,в/ч 59292,м. Самара,Самарська область,53.198627,50.113987,,,,,
ffff,ffff,ffff,ffff,ffff,2-й полк рхб защиты,2nd-Regiment-of-RCB-protection,2-й полк РХБ захисту,2 прхбз,ffff,Army-subordination,Армійського підпорядкування,2-я гвардейская общевойсковая Краснознамённая армия,2nd-Guards-Army,2-га гвардійська армія,Центральний військовий округ,Армія РФ,в/ч 18664,м. Самара,Самарська область,53.198627,50.113987,,,,,
ffff,ffff,ffff,"інженерно-саперний батальйон,",ffff,39-й инженерно-сапёрный полк,39th-engineering-sapl,39-й інженерно-саперний полк,39 ісп,ffff,Army-subordination,Армійського підпорядкування,2-я гвардейская общевойсковая Краснознамённая армия,2nd-Guards-Army,2-га гвардійська армія,Центральний військовий округ,Армія РФ,в/ч 53701,смт. Кізнер,Республіка Удмуртія,51.51208505075489,56.28264799697771,,,,,
ffff,ffff,ffff,управление и штаб;,ffff,31-я отдельная гвардейская десантно-штурмовая ордена кутузова второй степени бригада,31st-Separate-Guards-Airborne-Assault-Brigade,31-ша  десантно-штурмова бригада,31 гв одшбр,ffff,Army-subordination,Армійського підпорядкування,2-я гвардейская общевойсковая Краснознамённая армия,2nd-Guards-Army,2-га гвардійська армія,Центральний військовий округ,Армія РФ,в/ч 73612,м. Ульянівськ,Ульяновська область,54.3137299,48.3895466,Yes,Попасна,38.3820551825378,48.63332494142087,
ffff,ffff,ffff,управление бригады,ffff,3-я отдельная гвардейская варшавско-берлинская краснознамённая ордена суворова бригада специального назначения гу гш вс рф,3rd-separate-Guards-Brigade-of-Special-Purpose,3-тя  бригада спеціального призначення,3 обрСпН,ffff,Army-subordination,Армійського підпорядкування,Подразделения специального назначения (СпН ГУ),District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 21208,м. Тольятті,Самарська область,53.47671125,49.527711954776365,,,,,
отряд специальной радиосвязи;,ffff,ffff,управление бригады (в/ч 55433) и подразделения при управлении,ffff,"24-я отдельная Бранденбургская ордена Ленина, Краснознамённая, ордена Суворова бригада специального назначени",24th-Special-Purpose-Brigade,24-та бригада спеціального призначення,24 обрСпН,ffff,Army-subordination,Армійського підпорядкування,Подразделения специального назначения (СпН ГУ),District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 55433,м. Новосибірськ,Новосибірська область,55.0534108,82.9057892,Yes,Україна,30.530483275708956,50.43818733707321,
ffff,ffff,ffff,ffff,ffff,39-я отдельная радиотехническая бригада особого назначения,39th-Separate-Radio-Technical-Brigade,39-та радіотехнічна бригада,39 орабр,ffff,Army-subordination,Армійського підпорядкування,Подразделения специального назначения (СпН ГУ),District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,Невідомо,м. Оренбург,Оренбургська область,51.7940358,55.1507793,,,,,
ffff,ffff,ffff,ffff,ffff,Управління 14 армії ВВС та ППО,Air-Force-and-Air-Force-Management,Управління 14 армії ВВС та ППО,У 14 аввс,ffff,Army-subordination,Армійського підпорядкування,14-я армия ВВС и ПВО,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 71592,м. Екатеринбург,Свердловська область,56.746587,60.8017937,,,,,
ffff,ffff,ffff,ffff,ffff,712-й винищувальний авіаційний полк,712th-Fighter-Aviation-Regiment,712-й винищувальний авіаційний полк,712 вап,21-а гвардійська змішана авіаційна дивізія,21st-Aviation-Division,21-ша авіаційна дивізія,14-я армия ВВС и ПВО,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 82873,м. Канськ,Красноярський край,56.205997,95.706787,,,,,
ffff,ffff,ffff,ffff,ffff,764-й винищувальний авіаційний полк,764th-Fighter-Aviation-Regiment,764-й винищувальний авіаційний полк,764 вап,21-а гвардійська змішана авіаційна дивізія,21st-Aviation-Division,21-ша авіаційна дивізія,14-я армия ВВС и ПВО,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 88503,м. Пермь,Пермський край,58.014965,56.246723,,,,,
ffff,ffff,ffff,ffff,ffff,2-й гвардійський авіаційний бомбардувальний полк,2nd-Guards-Aviation-Bombing-Regiment,2-й авіаційний бомбардувальний полк,2 гвабп,21-а гвардійська змішана авіаційна дивізія,21st-Aviation-Division,21-ша авіаційна дивізія,14-я армия ВВС и ПВО,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 69806,м. Челябінськ,Челябінська область,55.30315105,61.500869139554695,Yes,Україна,30.530483275708946,50.43818733707312,
ffff,ffff,ffff,ffff,ffff,Управління 41-ї дивізії ППО,Management-of-the-41st-Air-Defense-Division,Управління 41-ї дивізії ППО,У 41 дппо,41-а дивізія ППО,41st-Air-Defense-Division,41-ша дивізія ППО,14-я армия ВВС и ПВО,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 29286,м. Об,Новосибірська область,55.0172175,82.6022512,,,,,
ffff,ffff,ffff,ffff,ffff,590-й львівський зенітний ракетний полк,590th-missile-regiment,590-й ракетний полк,590 рп,41-а дивізія ППО,41st-Air-Defense-Division,41-ша дивізія ППО,14-я армия ВВС и ПВО,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 35730,м. Новосибірськ,Новосибірська область,55.0534108,82.9057892,Yes,Україна,30.530483275708995,50.43818733707363,
ffff,ffff,ffff,ffff,ffff,1534-й зенітний ракетний полк,1534-anti-aircraft-missile-regiment,1534-й зенітний ракетний полк,1534 зенрп,41-а дивізія ППО,41st-Air-Defense-Division,41-ша дивізія ППО,14-я армия ВВС и ПВО,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 25512,м. Ангарськ,Іркутська область,52.5311117,103.8826109,,,,,
ffff,ffff,ffff,ffff,ffff,388-й гвардійський зенітний ракетний полк,388th-Guards-anti-aircraft-missile-regiment,388-й зенітний ракетний полк,388 гв зенрп,41-а дивізія ППО,41st-Air-Defense-Division,41-ша дивізія ППО,14-я армия ВВС и ПВО,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 97646,м. Ачинськ,Красноярський край,56.2694846,90.4953964,Yes,Україна,30.530483275708978,50.43818733707344,
ffff,ffff,ffff,ffff,ffff,341-й радіотехнічний полк,341th-radio-technical-regiment,341-й радіотехнічний полк,341 рап,41-а дивізія ППО,41st-Air-Defense-Division,41-ша дивізія ППО,14-я армия ВВС и ПВО,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 58133,м. Об,Новосибірська область,55.0172175,82.6022512,,,,,
ffff,ffff,ffff,ffff,ffff,Управління 76-ї дивізії ППО,Management-of-the-76th-Air-Defense-Division,Управління 76-ї дивізії ППО,У 76 дппо,76-а дивізія ППО,76th-Air-Defense-Division,76-та дивізія ППО,14-я армия ВВС и ПВО,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 34244,м. Самара,Самарська область,53.198627,50.113987,,,,,
ffff,ffff,ffff,ffff,ffff,185-й зенітний ракетний полк,185th-anti-aircraft-missile-regiment,185-й зенітний ракетний полк,185 зенрп,76-а дивізія ППО,76th-Air-Defense-Division,76-та дивізія ППО,14-я армия ВВС и ПВО,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 92851,м. Екатеринбург,Свердловська область,56.746587,60.8017937,,,,,
ffff,ffff,ffff,ffff,ffff,511-й гвардійський зенітний ракетний смоленський полк,511th-Guards-anti-aircraft-missile-Smolensk-Regiment,511-й зенітний ракетний полк,511 газенрп,76-а дивізія ППО,76th-Air-Defense-Division,76-та дивізія ППО,14-я армия ВВС и ПВО,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 40218,м. Єнгельс,Саратовська область,51.4539997,46.0859048,,,,,
ffff,ffff,ffff,ffff,ffff,568-й зенітний ракетний полк,568th-anti-aircraft-missile-regiment,568-й зенітний ракетний полк,568 зенрп,76-а дивізія ППО,76th-Air-Defense-Division,76-та дивізія ППО,14-я армия ВВС и ПВО,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 28042,м. Самара,Самарська область,53.198627,50.113987,,,,,
ffff,ffff,ffff,ffff,ffff,340-й радіотехнічний полк,340th-radio-technical-regiment,340-й радіотехнічний полк,ffff,76-а дивізія ППО,76th-Air-Defense-Division,76-та дивізія ППО,14-я армия ВВС и ПВО,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 40278,смт. Мирний,Самарська область,53.508550303259696,50.27064054655887,,,,,
ffff,ffff,ffff,ffff,ffff,7-а бригада армійської авіації,7th-Brigade-of-Army-Aviation,7-а бригада армійської авіації,ffff,ffff,Army-subordination,Армійського підпорядкування,14-я армия ВВС и ПВО,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,в/ч 45123,м. Каменськ-Уральський,Свердловська область,56.41281809443649,61.936057469428775,,,,,
ffff,ffff,ffff,ffff,ffff,337-й окремий вертолітний полк,337th-separate-helicopter-regiment,337-й вертолітний полк,ffff,ffff,Army-subordination,Армійського підпорядкування,14-я армия ВВС и ПВО,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,Невідомо,м. Новосибірськ,Новосибірська область,55.0534108,82.9057892,,,,,
ffff,ffff,ffff,ffff,ffff,390-й окремий транспортний авіаційний полк,390th-Separate-Transport-Aviation-Regiment,390-й транспортний авіаційний полк,ffff,ffff,Army-subordination,Армійського підпорядкування,14-я армия ВВС и ПВО,District-subordination,Окружного підпорядкування,Центральний військовий округ,Армія РФ,Невідомо,м. Екатеринбург,Свердловська область,56.746587,60.8017937,,,,,
